"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,3,4,9,1e-06,-6,8,0.875318066157761
"HEME_vs_CONTROL",1,3,5,9,1e-06,-6,8,0.89030612244898
"HEME_vs_CONTROL",1,3,1,10,1e-06,-6,9,0.893129770992366
"HEME_vs_CONTROL",1,3,2,10,1e-06,-6,9,0.900763358778626
"HEME_vs_CONTROL",1,3,3,10,1e-06,-6,9,0.885496183206107
"HEME_vs_CONTROL",1,3,4,10,1e-06,-6,9,0.877862595419847
"HEME_vs_CONTROL",1,3,5,10,1e-06,-6,9,0.88265306122449
"HEME_vs_CONTROL",1,3,1,11,1e-06,-6,9,0.900763358778626
"HEME_vs_CONTROL",1,3,2,11,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,3,3,11,1e-06,-6,10,0.89058524173028
"HEME_vs_CONTROL",1,3,4,11,1e-06,-6,9,0.895674300254453
"HEME_vs_CONTROL",1,3,5,11,1e-06,-6,9,0.89030612244898
"HEME_vs_CONTROL",1,3,1,12,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,3,2,12,1e-06,-6,10,0.908396946564885
"HEME_vs_CONTROL",1,3,3,12,1e-06,-6,10,0.89058524173028
"HEME_vs_CONTROL",1,3,4,12,1e-06,-6,10,0.893129770992366
"HEME_vs_CONTROL",1,3,5,12,1e-06,-6,10,0.885204081632653
"HEME_vs_CONTROL",1,3,1,13,1e-06,-6,10,0.900763358778626
"HEME_vs_CONTROL",1,3,2,13,1e-06,-6,11,0.903307888040712
"HEME_vs_CONTROL",1,3,3,13,1e-06,-6,11,0.885496183206107
"HEME_vs_CONTROL",1,3,4,13,1e-06,-6,10,0.880407124681934
"HEME_vs_CONTROL",1,3,5,13,1e-06,-6,10,0.88265306122449
"HEME_vs_CONTROL",1,3,1,14,1e-06,-6,11,0.888040712468193
"HEME_vs_CONTROL",1,3,2,14,1e-06,-6,11,0.888040712468193
"HEME_vs_CONTROL",1,3,3,14,1e-06,-6,11,0.888040712468193
