"task","repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
"NUC_vs_CONTROL",13,1,"RF",10,0.868228404099561,0.865300146412884,-0.00292825768667648,10
"NUC_vs_CONTROL",13,1,"BinomialLasso",10,0.69692532942899,0.693997071742313,-0.00292825768667648,10
"NUC_vs_CONTROL",13,1,"Mahalanobis",10,0.693997071742313,0.692532942898975,-0.00146412884333813,10
"NUC_vs_CONTROL",13,2,"RF",10,0.847730600292826,0.838945827232797,-0.00878477306002923,10
"NUC_vs_CONTROL",13,2,"BinomialLasso",10,0.685212298682284,0.686676427525622,0.00146412884333824,10
"NUC_vs_CONTROL",13,2,"Mahalanobis",10,0.679355783308931,0.677891654465593,-0.00146412884333824,10
"NUC_vs_CONTROL",13,3,"RF",10,0.848973607038123,0.847507331378299,-0.00146627565982405,10
"NUC_vs_CONTROL",13,3,"BinomialLasso",10,0.696480938416422,0.686217008797654,-0.0102639296187684,10
"NUC_vs_CONTROL",13,3,"Mahalanobis",10,0.689149560117302,0.686217008797654,-0.0029325513196482,10
"NUC_vs_CONTROL",13,4,"RF",10,0.838472834067548,0.837004405286344,-0.00146842878120412,10
"NUC_vs_CONTROL",13,4,"BinomialLasso",10,0.694566813509545,0.694566813509545,0,10
"NUC_vs_CONTROL",13,4,"Mahalanobis",10,0.682819383259912,0.681350954478708,-0.00146842878120412,10
"NUC_vs_CONTROL",13,5,"RF",10,0.870778267254038,0.86784140969163,-0.00293685756240825,10
"NUC_vs_CONTROL",13,5,"BinomialLasso",10,0.726872246696035,0.720998531571219,-0.00587371512481638,10
"NUC_vs_CONTROL",13,5,"Mahalanobis",10,0.718061674008811,0.716593245227606,-0.00146842878120412,10
"NUC_vs_CONTROL",14,1,"RF",10,0.844802342606149,0.843338213762811,-0.00146412884333824,10
"NUC_vs_CONTROL",14,1,"BinomialLasso",10,0.698389458272328,0.69692532942899,-0.00146412884333824,10
"NUC_vs_CONTROL",14,1,"Mahalanobis",10,0.677891654465593,0.679355783308931,0.00146412884333824,10
"NUC_vs_CONTROL",14,2,"RF",10,0.86090775988287,0.862371888726208,0.00146412884333824,10
"NUC_vs_CONTROL",14,2,"BinomialLasso",10,0.698389458272328,0.698389458272328,0,10
"NUC_vs_CONTROL",14,2,"Mahalanobis",10,0.708638360175695,0.71303074670571,0.00439238653001461,10
"NUC_vs_CONTROL",14,3,"RF",10,0.846041055718475,0.841642228739003,-0.00439882697947214,10
"NUC_vs_CONTROL",14,3,"BinomialLasso",10,0.690615835777126,0.69208211143695,0.00146627565982405,10
"NUC_vs_CONTROL",14,3,"Mahalanobis",10,0.696480938416422,0.696480938416422,0,10
"NUC_vs_CONTROL",14,4,"RF",10,0.860499265785609,0.860499265785609,0,10
"NUC_vs_CONTROL",14,4,"BinomialLasso",10,0.707782672540382,0.709251101321586,0.00146842878120412,10
"NUC_vs_CONTROL",14,4,"Mahalanobis",10,0.693098384728341,0.693098384728341,0,10
"NUC_vs_CONTROL",14,5,"RF",10,0.838472834067548,0.84287812041116,0.00440528634361237,10
"NUC_vs_CONTROL",14,5,"BinomialLasso",10,0.682819383259912,0.671071953010279,-0.0117474302496329,10
"NUC_vs_CONTROL",14,5,"Mahalanobis",10,0.674008810572687,0.669603524229075,-0.00440528634361237,10
"NUC_vs_CONTROL",15,1,"RF",10,0.866764275256223,0.862371888726208,-0.00439238653001461,10
"NUC_vs_CONTROL",15,1,"BinomialLasso",10,0.693997071742313,0.693997071742313,0,10
"NUC_vs_CONTROL",15,1,"Mahalanobis",10,0.69692532942899,0.695461200585652,-0.00146412884333824,10
"NUC_vs_CONTROL",15,2,"RF",10,0.871156661786237,0.871156661786237,0,10
"NUC_vs_CONTROL",15,2,"BinomialLasso",10,0.723279648609078,0.720351390922401,-0.00292825768667637,10
"NUC_vs_CONTROL",15,2,"Mahalanobis",10,0.708638360175695,0.710102489019034,0.00146412884333824,10
"NUC_vs_CONTROL",15,3,"RF",10,0.86217008797654,0.859237536656892,-0.00293255131964809,10
"NUC_vs_CONTROL",15,3,"BinomialLasso",10,0.705278592375367,0.705278592375367,0,10
"NUC_vs_CONTROL",15,3,"Mahalanobis",10,0.69941348973607,0.703812316715543,0.00439882697947214,10
"NUC_vs_CONTROL",15,4,"RF",10,0.829662261380323,0.829662261380323,0,10
"NUC_vs_CONTROL",15,4,"BinomialLasso",10,0.672540381791483,0.671071953010279,-0.00146842878120412,10
"NUC_vs_CONTROL",15,4,"Mahalanobis",10,0.666666666666667,0.665198237885463,-0.00146842878120412,10
"NUC_vs_CONTROL",15,5,"RF",10,0.844346549192364,0.838472834067548,-0.00587371512481649,10
"NUC_vs_CONTROL",15,5,"BinomialLasso",10,0.693098384728341,0.693098384728341,0,10
"NUC_vs_CONTROL",15,5,"Mahalanobis",10,0.684287812041116,0.682819383259912,-0.00146842878120412,10
"NUC_vs_CONTROL",16,1,"RF",10,0.844802342606149,0.853587115666179,0.00878477306002923,10
"NUC_vs_CONTROL",16,1,"BinomialLasso",10,0.698389458272328,0.68814055636896,-0.0102489019033676,10
"NUC_vs_CONTROL",16,1,"Mahalanobis",10,0.693997071742313,0.691068814055637,-0.00292825768667637,10
"NUC_vs_CONTROL",16,2,"RF",10,0.859443631039531,0.862371888726208,0.00292825768667648,10
"NUC_vs_CONTROL",16,2,"BinomialLasso",10,0.711566617862372,0.708638360175695,-0.00292825768667637,10
"NUC_vs_CONTROL",16,2,"Mahalanobis",10,0.68814055636896,0.695461200585652,0.0073206442166911,10
"NUC_vs_CONTROL",16,3,"RF",10,0.847507331378299,0.844574780058651,-0.00293255131964809,10
"NUC_vs_CONTROL",16,3,"BinomialLasso",10,0.697947214076246,0.697947214076246,0,10
"NUC_vs_CONTROL",16,3,"Mahalanobis",10,0.695014662756598,0.697947214076246,0.00293255131964809,10
"NUC_vs_CONTROL",16,4,"RF",10,0.878120411160059,0.873715124816446,-0.00440528634361237,10
"NUC_vs_CONTROL",16,4,"BinomialLasso",10,0.706314243759178,0.701908957415565,-0.00440528634361237,10
"NUC_vs_CONTROL",16,4,"Mahalanobis",10,0.71071953010279,0.704845814977974,-0.00587371512481638,10
"NUC_vs_CONTROL",16,5,"RF",10,0.816446402349486,0.813509544787078,-0.00293685756240825,10
"NUC_vs_CONTROL",16,5,"BinomialLasso",10,0.669603524229075,0.668135095447871,-0.00146842878120412,10
"NUC_vs_CONTROL",16,5,"Mahalanobis",10,0.66079295154185,0.659324522760646,-0.00146842878120412,10
