"repeat_id","fold_id","model","t_end","smooth_lambda_name","smooth_lambda","accuracy","k_use"
7,1,"RF",10,"1e-2",0.01,0.793478260869565,6
7,1,"MultinomialLasso",10,"1e-2",0.01,0.782608695652174,6
7,1,"Mahalanobis",10,"1e-2",0.01,0.570652173913043,6
7,1,"RF",10,"1e-1",0.1,0.78804347826087,6
7,1,"MultinomialLasso",10,"1e-1",0.1,0.782608695652174,6
7,1,"Mahalanobis",10,"1e-1",0.1,0.565217391304348,6
7,2,"RF",10,"1e-4",1e-04,0.775956284153005,6
7,2,"MultinomialLasso",10,"1e-4",1e-04,0.770491803278688,6
7,2,"Mahalanobis",10,"1e-4",1e-04,0.579234972677596,6
7,2,"RF",10,"1e-3",0.001,0.775956284153005,6
7,2,"MultinomialLasso",10,"1e-3",0.001,0.770491803278688,6
7,2,"Mahalanobis",10,"1e-3",0.001,0.579234972677596,6
7,2,"RF",10,"1e-2",0.01,0.759562841530055,6
7,2,"MultinomialLasso",10,"1e-2",0.01,0.770491803278688,6
7,2,"Mahalanobis",10,"1e-2",0.01,0.579234972677596,6
7,2,"RF",10,"1e-1",0.1,0.765027322404372,6
7,2,"MultinomialLasso",10,"1e-1",0.1,0.770491803278688,6
7,2,"Mahalanobis",10,"1e-1",0.1,0.579234972677596,6
7,3,"RF",10,"1e-4",1e-04,0.788888888888889,6
7,3,"MultinomialLasso",10,"1e-4",1e-04,0.777777777777778,6
7,3,"Mahalanobis",10,"1e-4",1e-04,0.555555555555556,6
7,3,"RF",10,"1e-3",0.001,0.805555555555556,6
7,3,"MultinomialLasso",10,"1e-3",0.001,0.777777777777778,6
7,3,"Mahalanobis",10,"1e-3",0.001,0.555555555555556,6
7,3,"RF",10,"1e-2",0.01,0.811111111111111,6
7,3,"MultinomialLasso",10,"1e-2",0.01,0.777777777777778,6
7,3,"Mahalanobis",10,"1e-2",0.01,0.555555555555556,6
7,3,"RF",10,"1e-1",0.1,0.788888888888889,6
