"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
4,3,5,11,0.00215443469003188,-2.66666666666667,7,0.802816901408451
4,3,5,11,0.00129154966501488,-2.88888888888889,7,0.802816901408451
4,3,5,11,0.000774263682681127,-3.11111111111111,7,0.809859154929577
4,3,5,11,0.000464158883361278,-3.33333333333333,7,0.816901408450704
4,3,5,11,0.000278255940220713,-3.55555555555556,7,0.809859154929577
4,3,5,11,0.000166810053720006,-3.77777777777778,7,0.809859154929577
4,3,5,11,1e-04,-4,7,0.809859154929577
4,3,1,12,0.01,-2,7,0.704697986577181
4,3,1,12,0.00599484250318941,-2.22222222222222,7,0.724832214765101
4,3,1,12,0.00359381366380463,-2.44444444444444,7,0.751677852348993
4,3,1,12,0.00215443469003188,-2.66666666666667,7,0.778523489932886
4,3,1,12,0.00129154966501488,-2.88888888888889,7,0.778523489932886
4,3,1,12,0.000774263682681127,-3.11111111111111,7,0.778523489932886
4,3,1,12,0.000464158883361278,-3.33333333333333,7,0.771812080536913
4,3,1,12,0.000278255940220713,-3.55555555555556,7,0.778523489932886
4,3,1,12,0.000166810053720006,-3.77777777777778,7,0.778523489932886
4,3,1,12,1e-04,-4,7,0.771812080536913
4,3,2,12,0.01,-2,7,0.714285714285714
4,3,2,12,0.00599484250318941,-2.22222222222222,7,0.768707482993197
4,3,2,12,0.00359381366380463,-2.44444444444444,7,0.775510204081633
4,3,2,12,0.00215443469003188,-2.66666666666667,7,0.795918367346939
4,3,2,12,0.00129154966501488,-2.88888888888889,7,0.795918367346939
4,3,2,12,0.000774263682681127,-3.11111111111111,7,0.802721088435374
4,3,2,12,0.000464158883361278,-3.33333333333333,7,0.80952380952381
4,3,2,12,0.000278255940220713,-3.55555555555556,7,0.802721088435374
4,3,2,12,0.000166810053720006,-3.77777777777778,7,0.795918367346939
4,3,2,12,1e-04,-4,7,0.795918367346939
4,3,3,12,0.01,-2,7,0.715277777777778
