"t_end","fold","classifier","accuracy","k_use"
11.8,4,"RF",0.798882681564246,7
11.8,4,"MultinomialLasso",0.837988826815642,7
11.8,4,"Mahalanobis",0.525139664804469,7
11.8,5,"RF",0.780898876404494,7
11.8,5,"MultinomialLasso",0.786516853932584,7
11.8,5,"Mahalanobis",0.601123595505618,7
12,1,"RF",0.717391304347826,7
12,1,"MultinomialLasso",0.739130434782609,7
12,1,"Mahalanobis",0.625,7
12,2,"RF",0.786885245901639,7
12,2,"MultinomialLasso",0.786885245901639,7
12,2,"Mahalanobis",0.562841530054645,7
12,3,"RF",0.75,7
12,3,"MultinomialLasso",0.766666666666667,7
12,3,"Mahalanobis",0.533333333333333,7
12,4,"RF",0.787709497206704,7
12,4,"MultinomialLasso",0.837988826815642,7
12,4,"Mahalanobis",0.525139664804469,7
12,5,"RF",0.786516853932584,7
12,5,"MultinomialLasso",0.775280898876405,7
12,5,"Mahalanobis",0.606741573033708,7
12.2,1,"RF",0.722826086956522,7
12.2,1,"MultinomialLasso",0.739130434782609,7
12.2,1,"Mahalanobis",0.630434782608696,7
12.2,2,"RF",0.765027322404372,7
12.2,2,"MultinomialLasso",0.792349726775956,7
12.2,2,"Mahalanobis",0.562841530054645,7
12.2,3,"RF",0.761111111111111,7
12.2,3,"MultinomialLasso",0.761111111111111,7
12.2,3,"Mahalanobis",0.527777777777778,7
12.2,4,"RF",0.810055865921788,7
12.2,4,"MultinomialLasso",0.843575418994413,7
12.2,4,"Mahalanobis",0.519553072625698,7
12.2,5,"RF",0.786516853932584,7
12.2,5,"MultinomialLasso",0.769662921348315,7
12.2,5,"Mahalanobis",0.601123595505618,7
12.4,1,"RF",0.717391304347826,7
12.4,1,"MultinomialLasso",0.744565217391304,7
12.4,1,"Mahalanobis",0.630434782608696,7
12.4,2,"RF",0.770491803278688,7
12.4,2,"MultinomialLasso",0.781420765027322,7
12.4,2,"Mahalanobis",0.562841530054645,7
12.4,3,"RF",0.75,7
12.4,3,"MultinomialLasso",0.761111111111111,7
12.4,3,"Mahalanobis",0.522222222222222,7
12.4,4,"RF",0.787709497206704,7
12.4,4,"MultinomialLasso",0.849162011173184,7
12.4,4,"Mahalanobis",0.513966480446927,7
12.4,5,"RF",0.780898876404494,7
12.4,5,"MultinomialLasso",0.769662921348315,7
12.4,5,"Mahalanobis",0.595505617977528,7
12.6,1,"RF",0.722826086956522,7
12.6,1,"MultinomialLasso",0.755434782608696,7
12.6,1,"Mahalanobis",0.619565217391304,7
12.6,2,"RF",0.754098360655738,7
12.6,2,"MultinomialLasso",0.781420765027322,7
12.6,2,"Mahalanobis",0.557377049180328,7
12.6,3,"RF",0.772222222222222,7
12.6,3,"MultinomialLasso",0.761111111111111,7
12.6,3,"Mahalanobis",0.522222222222222,7
12.6,4,"RF",0.776536312849162,7
12.6,4,"MultinomialLasso",0.849162011173184,7
12.6,4,"Mahalanobis",0.513966480446927,7
12.6,5,"RF",0.775280898876405,7
12.6,5,"MultinomialLasso",0.769662921348315,7
12.6,5,"Mahalanobis",0.584269662921348,7
12.8,1,"RF",0.744565217391304,7
12.8,1,"MultinomialLasso",0.755434782608696,7
12.8,1,"Mahalanobis",0.619565217391304,7
12.8,2,"RF",0.754098360655738,7
12.8,2,"MultinomialLasso",0.786885245901639,7
12.8,2,"Mahalanobis",0.568306010928962,7
12.8,3,"RF",0.761111111111111,7
12.8,3,"MultinomialLasso",0.761111111111111,7
12.8,3,"Mahalanobis",0.527777777777778,7
12.8,4,"RF",0.776536312849162,7
12.8,4,"MultinomialLasso",0.837988826815642,7
12.8,4,"Mahalanobis",0.508379888268156,7
12.8,5,"RF",0.780898876404494,7
12.8,5,"MultinomialLasso",0.775280898876405,7
12.8,5,"Mahalanobis",0.578651685393258,7
13,1,"RF",0.733695652173913,7
13,1,"MultinomialLasso",0.75,7
13,1,"Mahalanobis",0.619565217391304,7
13,2,"RF",0.754098360655738,7
13,2,"MultinomialLasso",0.775956284153005,7
13,2,"Mahalanobis",0.568306010928962,7
13,3,"RF",0.733333333333333,7
13,3,"MultinomialLasso",0.761111111111111,7
13,3,"Mahalanobis",0.527777777777778,7
13,4,"RF",0.793296089385475,7
13,4,"MultinomialLasso",0.832402234636871,7
13,4,"Mahalanobis",0.508379888268156,7
13,5,"RF",0.775280898876405,7
13,5,"MultinomialLasso",0.775280898876405,7
13,5,"Mahalanobis",0.578651685393258,7
13.2,1,"RF",0.728260869565217,7
13.2,1,"MultinomialLasso",0.75,7
13.2,1,"Mahalanobis",0.625,7
13.2,2,"RF",0.770491803278688,7
13.2,2,"MultinomialLasso",0.770491803278688,7
13.2,2,"Mahalanobis",0.568306010928962,7
13.2,3,"RF",0.755555555555556,7
13.2,3,"MultinomialLasso",0.772222222222222,7
13.2,3,"Mahalanobis",0.522222222222222,7
13.2,4,"RF",0.787709497206704,7
13.2,4,"MultinomialLasso",0.832402234636871,7
13.2,4,"Mahalanobis",0.513966480446927,7
13.2,5,"RF",0.758426966292135,8
