"repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
5,2,3,20,1e-06,-6,10,0.548611111111111
5,2,4,20,1e-06,-6,10,0.633802816901408
5,2,5,20,1e-06,-6,10,0.517730496453901
5,3,1,6,1e-06,-6,4,0.523489932885906
5,3,2,6,1e-06,-6,4,0.666666666666667
5,3,3,6,1e-06,-6,4,0.611111111111111
5,3,4,6,1e-06,-6,4,0.633802816901408
5,3,5,6,1e-06,-6,4,0.647887323943662
5,3,1,7,1e-06,-6,5,0.536912751677852
5,3,2,7,1e-06,-6,5,0.687074829931973
5,3,3,7,1e-06,-6,5,0.590277777777778
5,3,4,7,1e-06,-6,5,0.654929577464789
5,3,5,7,1e-06,-6,5,0.676056338028169
5,3,1,8,1e-06,-6,5,0.536912751677852
5,3,2,8,1e-06,-6,5,0.687074829931973
5,3,3,8,1e-06,-6,5,0.590277777777778
5,3,4,8,1e-06,-6,5,0.647887323943662
5,3,5,8,1e-06,-6,5,0.640845070422535
5,3,1,9,1e-06,-6,6,0.530201342281879
5,3,2,9,1e-06,-6,6,0.612244897959184
5,3,3,9,1e-06,-6,6,0.5625
5,3,4,9,1e-06,-6,6,0.612676056338028
5,3,5,9,1e-06,-6,6,0.598591549295775
5,3,1,10,1e-06,-6,6,0.536912751677852
5,3,2,10,1e-06,-6,6,0.557823129251701
5,3,3,10,1e-06,-6,6,0.541666666666667
5,3,4,10,1e-06,-6,6,0.598591549295775
5,3,5,10,1e-06,-6,6,0.535211267605634
5,3,1,11,1e-06,-6,7,0.543624161073825
5,3,2,11,1e-06,-6,7,0.578231292517007
5,3,3,11,1e-06,-6,7,0.527777777777778
5,3,4,11,1e-06,-6,7,0.591549295774648
5,3,5,11,1e-06,-6,7,0.542253521126761
5,3,1,12,1e-06,-6,7,0.543624161073825
5,3,2,12,1e-06,-6,7,0.564625850340136
5,3,3,12,1e-06,-6,7,0.5
5,3,4,12,1e-06,-6,7,0.563380281690141
5,3,5,12,1e-06,-6,7,0.528169014084507
5,3,1,13,1e-06,-6,7,0.557046979865772
5,3,2,13,1e-06,-6,8,0.571428571428571
5,3,3,13,1e-06,-6,7,0.506944444444444
5,3,4,13,1e-06,-6,7,0.563380281690141
5,3,5,13,1e-06,-6,7,0.514084507042254
5,3,1,14,1e-06,-6,8,0.536912751677852
5,3,2,14,1e-06,-6,8,0.578231292517007
5,3,3,14,1e-06,-6,8,0.5
5,3,4,14,1e-06,-6,8,0.556338028169014
5,3,5,14,1e-06,-6,8,0.492957746478873
5,3,1,15,1e-06,-6,8,0.557046979865772
5,3,2,15,1e-06,-6,8,0.598639455782313
5,3,3,15,1e-06,-6,8,0.506944444444444
5,3,4,15,1e-06,-6,8,0.542253521126761
5,3,5,15,1e-06,-6,8,0.5
5,3,1,16,1e-06,-6,8,0.557046979865772
5,3,2,16,1e-06,-6,9,0.585034013605442
5,3,3,16,1e-06,-6,8,0.506944444444444
5,3,4,16,1e-06,-6,8,0.556338028169014
5,3,5,16,1e-06,-6,9,0.507042253521127
5,3,1,17,1e-06,-6,9,0.557046979865772
5,3,2,17,1e-06,-6,9,0.591836734693878
