"repeat_id","fold_id","model","t_end","accuracy_95","accuracy_98","paired_difference_98_minus_95","k_95","k_98"
6,1,"RF",10,0.78804347826087,0.771739130434783,-0.0163043478260869,6,12
6,1,"MultinomialLasso",10,0.782608695652174,0.717391304347826,-0.0652173913043479,6,12
6,1,"Mahalanobis",10,0.581521739130435,0.554347826086957,-0.0271739130434783,6,12
6,2,"RF",10,0.775956284153005,0.743169398907104,-0.0327868852459016,6,12
6,2,"MultinomialLasso",10,0.737704918032787,0.770491803278688,0.0327868852459016,6,12
6,2,"Mahalanobis",10,0.612021857923497,0.628415300546448,0.0163934426229508,6,12
6,3,"RF",10,0.794444444444444,0.777777777777778,-0.0166666666666666,6,13
6,3,"MultinomialLasso",10,0.766666666666667,0.772222222222222,0.00555555555555554,6,13
6,3,"Mahalanobis",10,0.577777777777778,0.65,0.0722222222222223,6,13
6,4,"RF",10,0.76536312849162,0.759776536312849,-0.005586592178771,6,12
6,4,"MultinomialLasso",10,0.759776536312849,0.737430167597765,-0.0223463687150838,6,12
6,4,"Mahalanobis",10,0.486033519553073,0.513966480446927,0.0279329608938548,6,12
6,5,"RF",10,0.825842696629214,0.808988764044944,-0.0168539325842697,7,13
6,5,"MultinomialLasso",10,0.814606741573034,0.808988764044944,-0.0056179775280899,7,13
6,5,"Mahalanobis",10,0.606741573033708,0.612359550561798,0.0056179775280899,7,13
7,1,"RF",10,0.777173913043478,0.798913043478261,0.0217391304347826,7,13
7,1,"MultinomialLasso",10,0.793478260869565,0.809782608695652,0.016304347826087,7,13
7,1,"Mahalanobis",10,0.581521739130435,0.625,0.0434782608695652,7,13
7,2,"RF",10,0.797814207650273,0.770491803278688,-0.0273224043715847,6,13
7,2,"MultinomialLasso",10,0.765027322404372,0.775956284153005,0.0109289617486339,6,13
7,2,"Mahalanobis",10,0.573770491803279,0.650273224043716,0.0765027322404371,6,13
7,3,"RF",10,0.788888888888889,0.783333333333333,-0.00555555555555554,6,12
7,3,"MultinomialLasso",10,0.788888888888889,0.755555555555556,-0.0333333333333333,6,12
7,3,"Mahalanobis",10,0.544444444444444,0.583333333333333,0.038888888888889,6,12
7,4,"RF",10,0.748603351955307,0.776536312849162,0.0279329608938548,6,12
7,4,"MultinomialLasso",10,0.748603351955307,0.76536312849162,0.0167597765363129,6,12
7,4,"Mahalanobis",10,0.575418994413408,0.581005586592179,0.005586592178771,6,12
7,5,"RF",10,0.825842696629214,0.820224719101124,-0.0056179775280899,6,12
7,5,"MultinomialLasso",10,0.808988764044944,0.797752808988764,-0.0112359550561798,6,12
7,5,"Mahalanobis",10,0.629213483146067,0.595505617977528,-0.0337078651685393,6,12
8,1,"RF",10,0.755434782608696,0.755434782608696,0,6,13
8,1,"MultinomialLasso",10,0.744565217391304,0.755434782608696,0.0108695652173914,6,13
8,1,"Mahalanobis",10,0.554347826086957,0.559782608695652,0.00543478260869568,6,13
8,2,"RF",10,0.808743169398907,0.80327868852459,-0.00546448087431695,7,13
8,2,"MultinomialLasso",10,0.792349726775956,0.814207650273224,0.0218579234972678,7,13
8,2,"Mahalanobis",10,0.66120218579235,0.688524590163934,0.0273224043715847,7,13
8,3,"RF",10,0.811111111111111,0.788888888888889,-0.0222222222222223,6,12
8,3,"MultinomialLasso",10,0.755555555555556,0.755555555555556,0,6,12
8,3,"Mahalanobis",10,0.522222222222222,0.577777777777778,0.0555555555555555,6,12
8,4,"RF",10,0.759776536312849,0.776536312849162,0.0167597765363129,6,12
8,4,"MultinomialLasso",10,0.798882681564246,0.787709497206704,-0.0111731843575419,6,12
8,4,"Mahalanobis",10,0.558659217877095,0.553072625698324,-0.00558659217877089,6,12
8,5,"RF",10,0.814606741573034,0.825842696629214,0.0112359550561798,6,12
8,5,"MultinomialLasso",10,0.792134831460674,0.775280898876405,-0.0168539325842697,6,12
8,5,"Mahalanobis",10,0.584269662921348,0.617977528089888,0.0337078651685393,6,12
9,1,"RF",10,0.798913043478261,0.78804347826087,-0.0108695652173914,6,12
9,1,"MultinomialLasso",10,0.78804347826087,0.782608695652174,-0.00543478260869557,6,12
