"repeat_id","fold_id","model","t_end","baseline_accuracy","sulfur_accuracy","paired_difference","k_use"
4,3,"MultinomialLasso",10,0.783333333333333,0.788888888888889,0.00555555555555554,6
4,3,"Mahalanobis",10,0.616666666666667,0.622222222222222,0.00555555555555554,6
4,4,"RF",10,0.782122905027933,0.787709497206704,0.005586592178771,6
4,4,"MultinomialLasso",10,0.782122905027933,0.787709497206704,0.005586592178771,6
4,4,"Mahalanobis",10,0.558659217877095,0.58659217877095,0.0279329608938548,6
4,5,"RF",10,0.769662921348315,0.764044943820225,-0.0056179775280899,6
4,5,"MultinomialLasso",10,0.775280898876405,0.792134831460674,0.0168539325842697,6
4,5,"Mahalanobis",10,0.556179775280899,0.539325842696629,-0.0168539325842697,6
5,1,"RF",10,0.760869565217391,0.760869565217391,0,6
5,1,"MultinomialLasso",10,0.766304347826087,0.771739130434783,0.00543478260869568,6
5,1,"Mahalanobis",10,0.554347826086957,0.53804347826087,-0.016304347826087,6
5,2,"RF",10,0.80327868852459,0.775956284153005,-0.0273224043715847,6
5,2,"MultinomialLasso",10,0.786885245901639,0.775956284153005,-0.0109289617486339,6
5,2,"Mahalanobis",10,0.628415300546448,0.595628415300546,-0.0327868852459017,6
5,3,"RF",10,0.788888888888889,0.783333333333333,-0.00555555555555554,6
5,3,"MultinomialLasso",10,0.788888888888889,0.788888888888889,0,6
5,3,"Mahalanobis",10,0.533333333333333,0.561111111111111,0.0277777777777778,6
5,4,"RF",10,0.743016759776536,0.748603351955307,0.00558659217877089,6
5,4,"MultinomialLasso",10,0.76536312849162,0.759776536312849,-0.005586592178771,6
5,4,"Mahalanobis",10,0.620111731843575,0.592178770949721,-0.0279329608938547,6
5,5,"RF",10,0.786516853932584,0.780898876404494,-0.0056179775280899,6
5,5,"MultinomialLasso",10,0.764044943820225,0.764044943820225,0,6
5,5,"Mahalanobis",10,0.561797752808989,0.561797752808989,0,6
6,1,"RF",10,0.798913043478261,0.804347826086957,0.00543478260869568,6
6,1,"MultinomialLasso",10,0.820652173913043,0.831521739130435,0.0108695652173914,6
6,1,"Mahalanobis",10,0.592391304347826,0.619565217391304,0.0271739130434783,6
6,2,"RF",10,0.781420765027322,0.765027322404372,-0.0163934426229508,6
6,2,"MultinomialLasso",10,0.748633879781421,0.743169398907104,-0.00546448087431695,6
6,2,"Mahalanobis",10,0.557377049180328,0.557377049180328,0,6
6,3,"RF",10,0.772222222222222,0.761111111111111,-0.0111111111111112,6
6,3,"MultinomialLasso",10,0.772222222222222,0.755555555555556,-0.0166666666666667,6
6,3,"Mahalanobis",10,0.65,0.627777777777778,-0.0222222222222223,6
6,4,"RF",10,0.810055865921788,0.826815642458101,0.0167597765363129,6
6,4,"MultinomialLasso",10,0.804469273743017,0.810055865921788,0.00558659217877089,6
6,4,"Mahalanobis",10,0.575418994413408,0.569832402234637,-0.005586592178771,6
6,5,"RF",10,0.786516853932584,0.764044943820225,-0.0224719101123596,6
6,5,"MultinomialLasso",10,0.747191011235955,0.741573033707865,-0.0056179775280899,6
6,5,"Mahalanobis",10,0.52247191011236,0.539325842696629,0.0168539325842696,6
7,1,"RF",10,0.798913043478261,0.804347826086957,0.00543478260869568,6
7,1,"MultinomialLasso",10,0.777173913043478,0.777173913043478,0,6
7,1,"Mahalanobis",10,0.592391304347826,0.614130434782609,0.0217391304347826,6
7,2,"RF",10,0.792349726775956,0.781420765027322,-0.0109289617486339,6
7,2,"MultinomialLasso",10,0.825136612021858,0.808743169398907,-0.0163934426229508,6
7,2,"Mahalanobis",10,0.601092896174863,0.612021857923497,0.0109289617486339,6
7,3,"RF",10,0.75,0.738888888888889,-0.0111111111111111,6
7,3,"MultinomialLasso",10,0.794444444444444,0.788888888888889,-0.00555555555555554,6
7,3,"Mahalanobis",10,0.555555555555556,0.55,-0.00555555555555554,6
7,4,"RF",10,0.737430167597765,0.726256983240223,-0.0111731843575419,6
7,4,"MultinomialLasso",10,0.731843575418994,0.743016759776536,0.011173184357542,6
7,4,"Mahalanobis",10,0.525139664804469,0.525139664804469,0,6
7,5,"RF",10,0.792134831460674,0.814606741573034,0.0224719101123595,6
7,5,"MultinomialLasso",10,0.803370786516854,0.803370786516854,0,6
7,5,"Mahalanobis",10,0.550561797752809,0.539325842696629,-0.0112359550561798,6
8,1,"RF",10,0.809782608695652,0.798913043478261,-0.0108695652173914,6
8,1,"MultinomialLasso",10,0.782608695652174,0.771739130434783,-0.0108695652173914,6
8,1,"Mahalanobis",10,0.543478260869565,0.554347826086957,0.0108695652173914,6
8,2,"RF",10,0.792349726775956,0.797814207650273,0.00546448087431695,6
8,2,"MultinomialLasso",10,0.80327868852459,0.80327868852459,0,6
8,2,"Mahalanobis",10,0.617486338797814,0.612021857923497,-0.00546448087431695,6
8,3,"RF",10,0.772222222222222,0.738888888888889,-0.0333333333333333,6
8,3,"MultinomialLasso",10,0.766666666666667,0.766666666666667,0,6
8,3,"Mahalanobis",10,0.572222222222222,0.566666666666667,-0.00555555555555554,6
8,4,"RF",10,0.787709497206704,0.798882681564246,0.0111731843575419,6
8,4,"MultinomialLasso",10,0.754189944134078,0.759776536312849,0.00558659217877089,6
8,4,"Mahalanobis",10,0.558659217877095,0.536312849162011,-0.0223463687150838,6
8,5,"RF",10,0.769662921348315,0.758426966292135,-0.0112359550561798,6
8,5,"MultinomialLasso",10,0.780898876404494,0.775280898876405,-0.0056179775280899,6
8,5,"Mahalanobis",10,0.567415730337079,0.561797752808989,-0.0056179775280899,6
